	Source	Length	Incompatibility Group	Predicted Plasmid/ICE	Phylum
UMGS968_ERR525795_bin.39_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_1183_length_15116_cov_4.097669	Genome Set	15116	N/A	ICE	Firmicutes
UMGS622_ERR321346_bin.18_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_955_length_11955_cov_8.86403	Genome Set	11955	N/A	ICE	Bacteroidetes
13414_6_37_Firmicutes_Clostridia_Clostridiales_NA_NA_.13414_6_37.12	Genome Set	89986	N/A	ICE	Firmicutes
NZ_DS996841.1_Eubacterium_biforme_DSM_3989_Scfld5_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	708572	N/A	ICE	Tenericutes
NZ_ACFY01000054.1_Roseburia_inulinivorans_DSM_16841_R_inulinivorans-1.0.1_Cont67.1__whole_genome_shotgun_sequence	Genome Set	46779	N/A	ICE	Firmicutes
NZ_LN869528.1_Intestinimonas_sp._GD2_genome_assembly_Intestinimonas_massiliensis__scaffold_scaffold00006__whole_genome_shotgun_sequence	Genome Set	804651	N/A	ICE	Firmicutes
UMGS961_SRR5057100_bin.26_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Butyricicoccus_NODE_452_length_46612_cov_5.555083	Genome Set	46612	N/A	ICE	Firmicutes
UMGS17_SRR3737013_bin.48_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_276_length_43015_cov_13.767109	Genome Set	43015	N/A	ICE	Firmicutes
UMGS218_SRR5580022_bin.2_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_133_length_36504_cov_6.291048	Genome Set	36504	N/A	ICE	Bacteroidetes
13414_6_50_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.13414_6_50.2	Genome Set	378707	N/A	ICE	Firmicutes
NZ_KE150409.1_Lachnospiraceae_bacterium_3_1_57FAA_CT1_acsNU-supercont1.5__whole_genome_shotgun_sequence	Genome Set	184717	N/A	ICE	Firmicutes
18048_2_67_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_2_67.2	Genome Set	443033	N/A	ICE	Firmicutes
NZ_CWHU01000005.1_Anaerococcus_sp._SB3_genome_assembly_Anaerococcus_jeddahense__contig_contig00005__whole_genome_shotgun_sequence	Genome Set	1226270	rep_cluster_1663	ICE	Firmicutes
UMGS456_ERR209453_bin.40_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_30_length_133920_cov_12.062787	Genome Set	133920	N/A	ICE	Firmicutes
UMGS1140_ERR1018283_bin.51_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_86_length_76213_cov_9.552102	Genome Set	76213	N/A	ICE	Tenericutes
NZ_HE611017.1_Senegalimassilia_anaerobia_JC110__type_strain_JC110T__genomic_scaffold__scaffold00004__whole_genome_shotgun_sequence	Genome Set	264112	N/A	ICE	Actinobacteria
UMGS179_ERR589512_bin.12_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_319_length_65025_cov_23.740326	Genome Set	65025	N/A	ICE	Firmicutes
21673_4_80_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.21673_4_80.12	Genome Set	167905	N/A	ICE	Firmicutes
UMGS963_SRR4305041_bin.1_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_45_length_38197_cov_22.7003	Genome Set	38197	N/A	ICE	Bacteroidetes
NZ_JH376420.1_Clostridium_citroniae_WAL-17108_genomic_scaffold_supercont1.1__whole_genome_shotgun_sequence	Genome Set	2194785	N/A	ICE	Firmicutes
NZ_GG705182.1_Bacteroides_sp._2_1_22_genomic_scaffold_supercont1.10__whole_genome_shotgun_sequence	Genome Set	73869	rep_cluster_1702	ICE	Bacteroidetes
13414_6_32_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.13414_6_32.1	Genome Set	593637	N/A	ICE	Firmicutes
UMGS1433_SRR6028647_bin.11_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_136_length_28870_cov_10.513240	Genome Set	28870	N/A	ICE	Bacteroidetes
13470_2_71_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_NA_.13470_2_71.3	Genome Set	243995	N/A	ICE	Tenericutes
UMGS1598_ERR414334_bin.22_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_1092_length_26113_cov_4.072377	Genome Set	26113	N/A	N/A	Bacteroidetes
UMGS1056_SRR3992965_bin.74_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_1785_length_19243_cov_5.429354	Genome Set	19243	N/A	ICE	Firmicutes
UMGS200_SRR6028624_bin.16_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_276_length_18688_cov_6.985349	Genome Set	18688	N/A	Plasmid	Firmicutes
UMGS1601_SRR2155375_bin.1_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_1898_length_7571_cov_4.448377	Genome Set	7571	N/A	ICE	Firmicutes
UMGS1217_SRR1761720_bin.9_Tenericutes_NA_NA_NA_NA_NODE_44_length_92739_cov_8.902195	Genome Set	92739	N/A	N/A	Tenericutes
12718_7_72_Firmicutes_Clostridia_Clostridiales_NA_NA_.12718_7_72.5	Genome Set	255503	N/A	ICE	Firmicutes
NZ_ADDR02000002.1_Desulfovibrio_sp._3_1_syn3_acqcX-supercont2.2__whole_genome_shotgun_sequence	Genome Set	721572	N/A	ICE	Proteobacteria
20298_3_71_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_3_71.2	Genome Set	909011	N/A	ICE	Firmicutes
NZ_JH594596.1_Odoribacter_laneus_YIT_12061_supercont1.1__whole_genome_shotgun_sequence	Genome Set	2957506	N/A	ICE	Bacteroidetes
NZ_AAVN02000002.1_Collinsella_aerofaciens_ATCC_25986_C_aerofaciens-2.0_Cont899__whole_genome_shotgun_sequence	Genome Set	386275	N/A	ICE	Actinobacteria
UMGS1677_ERR1190831_bin.20_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_24_length_166096_cov_9.187014	Genome Set	166096	N/A	N/A	Firmicutes
UMGS1710_ERR1293845_bin.21_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_435_length_18338_cov_3.844500	Genome Set	18338	N/A	ICE	Bacteroidetes
NZ_ABJL02000003.1_Bacteroides_intestinalis_DSM_17393_B_intestinalis-2.0.1_Cont561__whole_genome_shotgun_sequence	Genome Set	46646	rep_cluster_663	N/A	Bacteroidetes
18048_2_90_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_.18048_2_90.3	Genome Set	387264	N/A	ICE	Bacteroidetes
14207_7_10_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.14207_7_10.4	Genome Set	362551	N/A	ICE	Firmicutes
21673_4_12_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.21673_4_12.14	Genome Set	115548	N/A	ICE	Firmicutes
UMGS780_ERR1913071_bin.12_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_143_length_60193_cov_22.254764	Genome Set	60193	N/A	ICE	Bacteroidetes
UMGS1762_SRR1761711_bin.32_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_9221_length_2735_cov_2.786940	Genome Set	2735	N/A	N/A	Bacteroidetes
14207_7_56_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_56.4	Genome Set	284769	N/A	ICE	Firmicutes
UMGS1834_SRR5127700_bin.13_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_1210_length_8641_cov_5.730142	Genome Set	8641	N/A	N/A	Actinobacteria
UMGS373_ERR414242_bin.31_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_796_length_19961_cov_19.9192	Genome Set	19961	N/A	ICE	Bacteroidetes
UMGS1622_ERR414356_bin.21_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_NODE_465_length_56872_cov_9.165567	Genome Set	56872	N/A	ICE	Firmicutes
NZ_JH376577.1_Paraprevotella_clara_YIT_11840_Scfld0__whole_genome_shotgun_sequence	Genome Set	96238	N/A	ICE	Bacteroidetes
UMGS792_SRR5580076_bin.53_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_45_length_147092_cov_9.918831	Genome Set	147092	N/A	ICE	Firmicutes
NZ_DS995509.1_Bacteroides_eggerthii_DSM_20697_Scfld1_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	1334896	N/A	ICE	Bacteroidetes
13470_2_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_93.17	Genome Set	72622	N/A	ICE	Firmicutes
UMGS904_SRR1761720_bin.5_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_NODE_69_length_72416_cov_9.436133	Genome Set	72416	N/A	ICE	Firmicutes
UMGS698_ERR414252_bin.16_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_78_length_117022_cov_32.496636	Genome Set	117022	N/A	ICE	Bacteroidetes
13414_6_44_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.13414_6_44.49	Genome Set	9273	N/A	ICE	Firmicutes
NZ_HE978639.1_Aeromicrobium_sp._JC14_genomic_scaffold__scaffold00004__whole_genome_shotgun_sequence	Genome Set	77148	N/A	N/A	Actinobacteria
UMGS1573_ERR321203_bin.19_Tenericutes_NA_NA_NA_NA_NODE_1639_length_5299_cov_3.417620	Genome Set	5299	N/A	ICE	Tenericutes
14207_7_95_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.14207_7_95.2	Genome Set	457756	N/A	ICE	Firmicutes
14207_6_9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.14207_6_9.10	Genome Set	123469	N/A	ICE	Bacteroidetes
14207_7_70_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_.14207_7_70.1	Genome Set	789399	N/A	ICE	Bacteroidetes
UMGS920_SRR6028474_bin.9_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_NODE_28_length_77954_cov_7.308130	Genome Set	77954	N/A	ICE	Firmicutes
13414_6_44_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.13414_6_44.41	Genome Set	12829	N/A	ICE	Firmicutes
21673_4_71_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.21673_4_71.42	Genome Set	18400	N/A	ICE	Firmicutes
20298_3_66_Firmicutes_Clostridia_Clostridiales_Clostridiales_Family_XI_Peptoniphilus_.20298_3_66.7	Genome Set	117402	N/A	ICE	Firmicutes
UMGS199_SRR4408188_bin.8_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_NODE_33_length_69374_cov_20.8125	Genome Set	69374	N/A	ICE	Firmicutes
UMGS624_ERR011095_bin.1_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_26_length_69394_cov_8.11064	Genome Set	69394	N/A	ICE	Bacteroidetes
14207_7_56_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_56.15	Genome Set	109106	N/A	ICE	Firmicutes
UMGS1226_SRR5057015_bin.98_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_242_length_88696_cov_7.526754	Genome Set	88696	N/A	ICE	Firmicutes
20298_3_64_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.20298_3_64.12	Genome Set	64331	N/A	ICE	Firmicutes
12718_7_29_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.12718_7_29.10	Genome Set	258097	N/A	ICE	Bacteroidetes
UMGS2007_ERR209576_bin.9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_395_length_8553_cov_1.800306	Genome Set	8553	N/A	ICE	Bacteroidetes
UMGS802_ERR1305895_bin.91_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_597_length_41768_cov_5.095678	Genome Set	41768	N/A	ICE	Firmicutes
NZ_JH376598.1_Paraprevotella_clara_YIT_11840_Scfld35__whole_genome_shotgun_sequence	Genome Set	76759	N/A	ICE	Bacteroidetes
UMGS1511_ERR1018258_bin.18_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_NODE_3124_length_11894_cov_5.321987	Genome Set	11894	N/A	ICE	Bacteroidetes
UMGS1083_SRR2912778_bin.6_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_982_length_10929_cov_13.004046	Genome Set	10929	N/A	N/A	Actinobacteria
NZ_GL538349.1_Faecalibacterium_cf._prausnitzii_KLE1255_genomic_scaffold_Scfld712__whole_genome_shotgun_sequence	Genome Set	26688	N/A	N/A	Firmicutes
20298_3_65_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20298_3_65.26	Genome Set	38789	N/A	ICE	Firmicutes
UMGS82_ERR525898_bin.19_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_17_length_193910_cov_13.6605	Genome Set	193910	N/A	ICE	Firmicutes
13414_6_60_Firmicutes_Clostridia_Clostridiales_NA_NA_.13414_6_60.15	Genome Set	54964	N/A	ICE	Firmicutes
13470_2_64_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.13470_2_64.2	Genome Set	191018	N/A	ICE	Bacteroidetes
NZ_GG657591.1_Clostridium_asparagiforme_DSM_15981_genomic_scaffold_Scfld5__whole_genome_shotgun_sequence	Genome Set	1153127	N/A	ICE	Firmicutes
20298_3_36_Firmicutes_Clostridia_Clostridiales_Clostridiales_Family_XI_Peptoniphilus_.20298_3_36.4	Genome Set	185641	N/A	N/A	Firmicutes
18048_1_72_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_1_72.7	Genome Set	199243	N/A	ICE	Firmicutes
13470_2_92_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_92.2	Genome Set	211300	N/A	ICE	Firmicutes
NZ_KE150238.1_Bilophila_wadsworthia_3_1_6_genomic_scaffold_acCls-supercont2.1__whole_genome_shotgun_sequence	Genome Set	3169074	N/A	ICE	Proteobacteria
21673_4_12_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.21673_4_12.2	Genome Set	345794	N/A	ICE	Firmicutes
UMGS1356_ERR505088_bin.30_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_3595_length_11570_cov_126.911854	Genome Set	11570	N/A	ICE	Firmicutes
NZ_DS483486.1_Faecalibacterium_prausnitzii_M21_2_Scfld_02_7_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	13467	N/A	N/A	Firmicutes
NZ_JH376586.1_Paraprevotella_clara_YIT_11840_Scfld10__whole_genome_shotgun_sequence	Genome Set	60713	N/A	ICE	Bacteroidetes
NZ_KI391948.1_Ruminococcaceae_bacterium_D16_genomic_scaffold_acsPy-supercont2.2__whole_genome_shotgun_sequence	Genome Set	992687	N/A	ICE	Firmicutes
14207_6_13_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.14207_6_13.10	Genome Set	116085	N/A	ICE	Bacteroidetes
UMGS126_ERR1190874_bin.16_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae_Oscillibacter_NODE_1059_length_29136_cov_12.198962	Genome Set	29136	N/A	ICE	Firmicutes
14207_6_9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.14207_6_9.18	Genome Set	76947	N/A	ICE	Bacteroidetes
20287_6_88_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_88.6	Genome Set	304030	N/A	ICE	Firmicutes
UMGS594_SRR5963240_bin.13_Firmicutes_Clostridia_Clostridiales_Clostridiales_Family_XI_Anaerococcus_NODE_54_length_93061_cov_95.302181	Genome Set	93061	N/A	ICE	Firmicutes
UMGS881_SRR4033077_bin.13_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Pseudobutyrivibrio_NODE_17_length_71722_cov_19.268785	Genome Set	71722	N/A	ICE	Firmicutes
UMGS126_ERR1190874_bin.16_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae_Oscillibacter_NODE_688_length_38284_cov_11.209265	Genome Set	38284	N/A	ICE	Firmicutes
20298_3_63_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_.20298_3_63.2	Genome Set	678153	N/A	ICE	Bacteroidetes
UMGS1759_ERR209240_bin.10_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_NODE_1302_length_12666_cov_2.548727	Genome Set	12666	N/A	ICE	Firmicutes
14207_7_56_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_56.26	Genome Set	30757	N/A	N/A	Firmicutes
NZ_CCYK01000002.1_Pseudomonas_sp._CB1_genome_assembly_Pseudomonas_massiliensis_CB1__contig_contig00002__whole_genome_shotgun_sequence	Genome Set	139806	N/A	N/A	Proteobacteria
NZ_KE993597.1_Clostridium_sp._ATCC_29733_genomic_scaffold_Scaffold30__whole_genome_shotgun_sequence	Genome Set	53479	N/A	ICE	Firmicutes
UMGS1687_ERR209185_bin.21_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_NODE_3065_length_4148_cov_1.632055	Genome Set	4148	N/A	N/A	Firmicutes
UMGS664_ERR209886_bin.11_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_37_length_104321_cov_4.870945	Genome Set	104321	N/A	ICE	Firmicutes
UMGS695_ERR1913046_bin.9_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_903_length_16931_cov_5.409635	Genome Set	16931	N/A	Plasmid	Tenericutes
18048_1_69_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.18048_1_69.7	Genome Set	145375	N/A	ICE	Firmicutes
NZ_LN898230.1_Tissierellia_bacterium_GD9_genome_assembly_Micromassilia_timonensis__scaffold_scaffold00008__whole_genome_shotgun_sequence	Genome Set	1049559	N/A	ICE	Firmicutes
NZ_GG662014.1_Coprococcus_comes_ATCC_27758_genomic_scaffold_Scfld9__whole_genome_shotgun_sequence	Genome Set	891565	N/A	ICE	Firmicutes
20298_3_35_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.20298_3_35.6	Genome Set	158206	N/A	ICE	Firmicutes
UMGS636_ERR1305895_bin.68_Tenericutes_Mollicutes_NA_NA_NA_NODE_868_length_33424_cov_12.076089	Genome Set	33424	N/A	N/A	Tenericutes
UMGS595_SRR5127461_bin.3_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_2_length_139026_cov_8.832699	Genome Set	139026	N/A	ICE	Actinobacteria
NZ_JH414700.1_Subdoligranulum_sp._4_3_54A2FAA_genomic_scaffold_supercont1.3__whole_genome_shotgun_sequence	Genome Set	325285	N/A	ICE	Firmicutes
UMGS1054_SRR5056649_bin.8_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_7693_length_5966_cov_10.379124	Genome Set	5966	N/A	ICE	Firmicutes
UMGS1073_ERR1190946_bin.14_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NODE_491_length_61893_cov_9.579094	Genome Set	61893	N/A	ICE	Bacteroidetes
11861_6_65_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.11861_6_65.10	Genome Set	163406	N/A	ICE	Firmicutes
20298_3_8_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_NA_.20298_3_8.4	Genome Set	218218	N/A	ICE	Tenericutes
UMGS462_ERR1305881_bin.83_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_27_length_226082_cov_9.547497	Genome Set	226082	N/A	ICE	Firmicutes
UMGS285_SRR1201570_bin.8_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_70_length_63969_cov_10.3672	Genome Set	63969	N/A	ICE	Firmicutes
UMGS1869_ERR414339_bin.30_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_317_length_58037_cov_6.232331	Genome Set	58037	N/A	ICE	Bacteroidetes
20287_6_53_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20287_6_53.10	Genome Set	296783	N/A	ICE	Bacteroidetes
UMGS2027_SRR1761721_bin.40_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_636_length_20534_cov_9.531276	Genome Set	20534	N/A	ICE	Bacteroidetes
NZ_LT594610.1_Butyricimonas_sp._Marseille-P2440__whole_genome_shotgun_sequence	Genome Set	2198421	N/A	ICE	Bacteroidetes
14207_6_13_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.14207_6_13.27	Genome Set	59553	N/A	ICE	Bacteroidetes
NZ_DS547021.1_Clostridium_sp._SS2_1_Scfld_03_25_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	141704	N/A	ICE	Firmicutes
UMGS536_SRR5275432_bin.34_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_12_length_219509_cov_50.293556	Genome Set	219509	N/A	ICE	Firmicutes
UMGS1869_ERR414339_bin.30_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_1073_length_27642_cov_4.981404	Genome Set	27642	N/A	ICE	Bacteroidetes
UMGS1630_SRR453564_bin.8_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_37_length_101487_cov_9.578752	Genome Set	101487	N/A	ICE	Firmicutes
20287_6_4_Proteobacteria_Betaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter_.20287_6_4.7	Genome Set	400192	rep_cluster_10	ICE	Proteobacteria
13414_6_17_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_.13414_6_17.18	Genome Set	61745	N/A	ICE	Firmicutes
13470_2_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_93.52	Genome Set	2402	N/A	Plasmid	Firmicutes
NZ_JH376872.1_Clostridium_clostridioforme_2_1_49FAA_genomic_scaffold_supercont1.3__whole_genome_shotgun_sequence	Genome Set	722831	N/A	ICE	Firmicutes
20298_3_65_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20298_3_65.8	Genome Set	193131	N/A	ICE	Firmicutes
UMGS12_SRR5106488_bin.11_Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae_Sutterella_NODE_64_length_90652_cov_9.532432	Genome Set	90652	N/A	ICE	Proteobacteria
20298_3_48_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.20298_3_48.11	Genome Set	229996	N/A	ICE	Firmicutes
UMGS1436_ERR1190898_bin.13_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_NODE_718_length_35044_cov_12.739690	Genome Set	35044	N/A	ICE	Firmicutes
20287_6_37_Firmicutes_Clostridia_Clostridiales_NA_NA_.20287_6_37.5	Genome Set	150734	N/A	ICE	Firmicutes
UMGS26_ERR1953518_bin.80_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Eggerthella_NODE_30_length_230818_cov_5.550955	Genome Set	230818	N/A	ICE	Actinobacteria
13414_6_2_Firmicutes_Clostridia_Clostridiales_NA_NA_.13414_6_2.3	Genome Set	398165	N/A	ICE	Firmicutes
UMGS83_ERR911953_bin.80_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_7_length_307653_cov_12.780489	Genome Set	307653	N/A	ICE	Firmicutes
20298_3_4_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_.20298_3_4.3	Genome Set	548481	N/A	ICE	Proteobacteria
UMGS1117_SRR5127624_bin.20_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_236_length_38547_cov_7.410553	Genome Set	38547	N/A	ICE	Actinobacteria
12718_7_84_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.12718_7_84.3	Genome Set	409702	N/A	ICE	Firmicutes
21673_4_3_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.21673_4_3.9	Genome Set	121909	N/A	ICE	Firmicutes
18048_2_82_Firmicutes_Clostridia_Clostridiales_NA_NA_.18048_2_82.7	Genome Set	94736	N/A	ICE	Firmicutes
18048_2_67_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_2_67.5	Genome Set	317204	N/A	ICE	Firmicutes
13414_6_2_Firmicutes_Clostridia_Clostridiales_NA_NA_.13414_6_2.9	Genome Set	125026	N/A	ICE	Firmicutes
20298_3_64_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.20298_3_64.2	Genome Set	367086	N/A	ICE	Firmicutes
18048_2_85_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.18048_2_85.7	Genome Set	136556	N/A	ICE	Firmicutes
UMGS1778_ERR1190962_bin.65_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_6873_length_6464_cov_2.446560	Genome Set	6464	N/A	ICE	Firmicutes
NZ_DS995508.1_Bacteroides_eggerthii_DSM_20697_Scfld0_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	660394	N/A	ICE	Bacteroidetes
14207_7_32_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_32.1	Genome Set	173084	N/A	ICE	Firmicutes
20298_3_66_Firmicutes_Clostridia_Clostridiales_Clostridiales_Family_XI_Peptoniphilus_.20298_3_66.6	Genome Set	117522	N/A	ICE	Firmicutes
18048_1_72_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_1_72.3	Genome Set	400443	N/A	ICE	Firmicutes
13470_2_62_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.13470_2_62.9	Genome Set	110983	N/A	ICE	Bacteroidetes
21673_4_77_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.21673_4_77.4	Genome Set	184413	N/A	ICE	Firmicutes
NZ_LN913001.1_Ruminococcus_sp._AT10_genome_assembly_Ruminococcus_phoceensis__scaffold_scaffold00005__whole_genome_shotgun_sequence	Genome Set	2164948	N/A	ICE	Firmicutes
NZ_KI392031.1_Oxalobacter_formigenes_HOxBLS_genomic_scaffold_supercont2.2__whole_genome_shotgun_sequence	Genome Set	1806203	N/A	ICE	Proteobacteria
NZ_JH376605.1_Paraprevotella_clara_YIT_11840_Scfld59__whole_genome_shotgun_sequence	Genome Set	177041	N/A	ICE	Bacteroidetes
UMGS219_ERR321453_bin.7_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_3_length_68502_cov_2.63624	Genome Set	68502	N/A	ICE	Bacteroidetes
20287_6_22_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_.20287_6_22.8	Genome Set	87545	N/A	N/A	Firmicutes
12718_7_84_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.12718_7_84.8	Genome Set	147599	N/A	ICE	Firmicutes
